,Hotels,Prices,Descriptions,Full_Descriptions
41,Caledonian,"€ 1,469",Beds: 1 double or 2 singles,"The Caledonian has an ideal setting on Barcelona's Gran Vía, just 5 minutes' walk from Plaza de Catalunya and Las Ramblas. Its rooms include free Wi-Fi internet access.

The air-conditioned rooms at the Caledonian feature simple, attractive décor with wooden floors. Each has a minibar and some rooms offer views of Gran Vía.

The hotel serves a daily buffet breakfast in its dining room. There is a good selection of restaurants within 10 minutes’ walk of the Caledonian.

Universitat Metro Station is just 100 metres from the hotel and connects guests to sights such as Gaudí’s La Perdrera and the Sagrada Familia within 15 minutes.

Guests can make use of services such as the 24-hour front desk and express check-in and check-out. The hotel also has luggage storage."
42,Barcelona Fifteen central Aparthotel,"€ 1,206",1 double bed,"Located just 300 metres from Parallel Avenue and metro station, Barcelona Fifteen central Aparthotel offers modern, air-conditioned rooms with free Wi-Fi and flat-screen cable TV.

The stylish rooms include a private bathroom, coffee making facilities, and a breakfast bar. The property also has studios with a kitchenette.

The property has a rooftop terrace where you can relax. There is also a communal washing machine, drier and microwave, which guests can use for free.

There is a wide range of restaurants and bars in the surrounding area and Parallel’s many theatres are also near to the guest house.

Las Ramblas Avenue is a 5-minute walk away and Barcelona’s Port Vell just 12 minutes’ walk. Airport buses leave from Plaza Espanya and Plaza Catalunya, which are both 20 minutes’ walk from Barcelona Fifteen Luxury."
43,Aparthotel Arai 4* Superior,"€ 1,960",1 double bed,"Set in the heart of Barcelona’s Gothic Quarter, Aparthotel Arai 4* Superior features an outdoor swimming pool, a gym with a sauna, and a rooftop terrace with city views. from its two terraces with jacuzzi.

The Arai is set in an 18th-century building and features stunning frescos on the façades, which are part of the architectural Heritage, historical and artistic of Barcelona, which gives it the Speciality Monument status.

Rooms feature a stylish, rustic décor with exposed stone walls and large windows. The air-conditioned rooms include free Wi-Fi and flat-screen satellite TV. They have a sofa and a small kitchenette with a fridge, microwave and coffee maker. Private bathrooms include free toiletries and a hairdryer.

Aparthotel Arai features Restaurant Palosanto, a classic tavern offering  tapas and Kokka, the first Peruvian bar in Barcelona.

Las Ramblas Avenue and Liceu Metro Station are just 5 minutes’ walk away. Airport buses leave from Plaza Catalunya, 950 metres away. Barcelona’s Port Vell is 10 minutes’ walk from Aparthotel Arai 4* Superior."
44,Acta CITY47,"€ 1,083",1 double bed,"Acta CITY47 is 5 minutes’ walk from Barcelona Sants Train Station and 15 minutes from the Fira Exhibition Centre. It offers a 24-hour reception and air-conditioned rooms with free WiFi.

The rooms at Acta CITY47 feature simple, modern décor and a private bathroom. Each one comes with a TV, free safe, and a work desk. Guests have free access to an ironing room open 24 hours.

The hotel’s modern Nass City restaurant serves international food and a gluten-free breakfast is available on prior request. There is also a bar where you can get a snack or a drink.

The Acta CITY47 is 20 minutes’ walk from Barcelona FC’s Camp Nou Stadium. Sants Metro Station connects you with the centre of Barcelona in 15 minutes."
45,Fisa Rentals Gran Via Apartments,"€ 1,644",1 large double bed,"Fisa Rentals Gran Via Apartments are stylish apartments set 5 minutes’ walk from Plaza de Catalunya and Las Ramblas. They have free Wi-Fi access and a flat-screen TV.

Each spacious Fisa Rentals apartment offers contemporary décor and chic wooden floors. All apartments are air conditioned, but there is one bedroom that doesn't have air conditioning. All the apartments have a spacious seating area with satellite TV. The well-equipped kitchens also have a washing machine.

The apartments have easy access to the centre of Barcelona and are within 10 minutes’ walk of a selection of shops, bars and restaurants.

Passeig de Gràcia Boulevard is 300 metres away and Gaudí’s Casa Batlló and La Pedrera can be reached in 15 minutes, by foot. Passeig de Gràcia and Urquinaona Metro Stations are around 200 metres away."
46,Bed and Bike Barcelona,"€ 1,449",2 single beds,"Centrally located in Barcelona, just 900 metres from Gaudi’s Sagrada Familia, Bed and Bike Barcelona offers private and shared rooms with free WiFi. Tetuan metro Station is 5 minutes’ walk away.

Air-conditioned rooms at this hostel come with a wardrobe and a private or shared bathroom. They include bed linen and lockers. Guests can make use of the shared kitchen and TV area. Bed linen and towels can be rented on site for an additional charge.

Bed and Bike Barcelona offers a bicycle rental service. There is also a 24-hour front desk, a tour desk and a ticket service.

The hostel is 900 metres from Arc de Triomf and a 20-minute walk from Passeig de Gràcia. Barcelona El Prat Airport is 14 km from Bed and Bike Barcelona."
47,Aparthotel Napols - Abapart,"€ 1,791",1 double bed,"Aparthotel Napols is centrally located, 350 metres from Barcelona’s Arc de Triomf Metro Station. Air-conditioned rooms feature a well-equipped kitchen, and a living room with sofa and TV.

Estació de Nord Bus Station is 5 minutes’ walk away, and has direct connections to Girona Airport. You can walk to Plaza Catalunya and the Rambla in 15 minutes. There is free WiFi in the apartments.

Soundproofed rooms at the Napols have a safe and minibar. The private bathroom comes with amenities.

The modern kitchen has a fridge, microwave and coffee maker. There is a dishwasher and dining area.

The complex has a 24-hour reception and a shared terrace. You can hire a car, and Napols offers a laundry service and luggage storage."
48,Hotel Astoria,"€ 1,361",Beds: 1 double or 2 singles,"Astoria is just off Barcelona’s Diagonal Avenue, a 5-minute walk from Diagonal Metro Station and Paseo de Gracia Avenue. It features a rooftop pool with views, and a gym.

The Astoria Hotel combines original Art Nouveau features with modern facilities. Air-conditioned rooms have satellite TV, a safe and minibar. They feature wooden floors and free Wi-Fi, and the modern bathrooms come with a hairdryer.

The restaurant at the Astoria offers traditional Catalan cuisine, and room service is available. There is also a terrace and a bar.

There is a 24-hour front desk"
49,Yeah Barcelona Hostel,"€ 2,125",4 single beds,"Ideally located, 10 minutes’ walk from both Gaudi’s masterpieces La Pedrera and La Sagrada Familia, Yeah Barcelona Hostel offers free WiFi and 24-hour reception.

All rooms at Yeah Barcelona Hostel come with a private bathroom with shower and bed linen.

A buffet breakfast is served every morning and a dinner including a set menu, is prepared at night at the on-site kitchen. Guests can enjoy the on-site bar.

Many supermarkets are in the surrounding streets; and trendy bars, restaurants and shops can be found on the many public squares in the Gracia District, 15 minutes’ walk away. The closest metro station is Verdaguer, 500 metres away."
50,Hotel Nouvel,"€ 1,509",Beds: 1 double or 2 singles,"Offering air-conditioned rooms, free WiFi and an on-site restaurant, Hotel Nouvel is located on a pedestrianised street just 100 metres from Barcelona’s Plaza Catalunya Square and the Ramblas.

The hotel features ornate ceilings, cast bronze and crystal lamps, and marble floors, in the style of its 19th-century building.

All rooms come with a flat-screen TV, double-glazed windows and a private bathroom with a bath or shower and a hairdryer. A safe is available to rent.

The hotel’s La Lluna Restaurant serves Mediterranean cuisine. Vending machines with snacks, ice, and drinks, are also available.

Staff at the 24-hour reception can help you arrange car hire, a laundry service and tickets for shows. You will also find luggage storage and a reading room with two computers.

Portal de Angel shopping street is just 2 minutes’ walk away, while Barcelona Cathedral and the Gothic Quarter are a 10-minute walk from Hotel Nouvel."
51,Catalonia Avinyo,"€ 1,445",Beds: 1 double or 2 singles,"Situated 200 metres from Las Ramblas in central Barcelona, Catalonia Avinyo features a rooftop pool and gym. It offers chic, air-conditioned rooms with satellite TV and free Wi-Fi.

Rooms are decorated in a modern, minimalist style with large wall photos. They include a minibar, safe and telephone. All hotel rooms have smart TVs, which are equipped with Chromecast app. The modern bathrooms have a shower and a hairdryer.

Barceloneta Beach is a 15-minute walk from Hotel Catalonia Avinyo. The Liceu and Jaume I Metro Stations are just 300 metres away and Barcelona Cathedral is 4 minutes' walk away.

The Avinyo’s central location means there are many shops, bars and restaurants close to the hotel. Bicycle and car hire can be arranged at the tour desk."
52,Hotel Boutique Mirlo Barcelona,"€ 1,902",1 extra-large double bed,"Hotel Boutique Mirlo Barcelona features a garden, shared lounge, a restaurant and bar in Barcelona. This 5-star hotel offers room service, a 24-hour front desk and free WiFi. A spa and wellness centre comprising a sauna, an outdoor swimming pool, a hot tub, as well as a terrace can be used by all guests.

The hotel will provide guests with air-conditioned rooms offering a desk, a coffee machine, a fridge, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a bidet. The rooms are fitted with a kettle, while selected rooms will provide you with a patio and others also have city views. At Hotel Boutique Mirlo Barcelona all rooms are fitted with bed linen and towels.

The accommodation offers a buffet or à la carte breakfast.

Park Güell is 2 km from Hotel Boutique Mirlo Barcelona, while La Pedrera is 3.6 km away. The nearest airport is Barcelona El Prat Airport, 16 km from the hotel."
53,Hotel Sant Agustí,"€ 1,316",Beds: 1 double or 2 singles,"Open since 1840, Sant Agustí is set in a restored convent just 150 metres from Barcelona’s famous Las Ramblas. It offers free Wi-Fi and functional air-conditioned rooms with flat-screen satellite TV.

Each room at Hotel Sant Agustí has simple, modern design and wooden flooring. Rooms come with a safe and a bathroom with toiletries and a hairdryer. Some rooms have a private balcony.

The Sant Agustí serves a daily continental buffet breakfast.

Downstairs there are computers which guests can use for free. Reception is also open 24 hours a day.

Set in a quiet square, the hotel is a 2-minute walk from Liceu Metro Station and La Boqueria Market. Plaza Catalunya is within 700 metres and offers various bus and train connections, including direct airport buses."
